"project","release","commitHash","methodId","BOM","TACH","FCH","LCH","FRCH","WCH","WCD","CSB","CSBS","ACDF","LOC"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::getConstraint(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::getMinimumSize(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::getPreferredSize(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::calculatePreferredSize(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::invalidate()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::getPreferredSize(IFigure, int, int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::calculatePreferredSize(IFigure, int, int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLayout.java::remove(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::getReferencePoint()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::getGap()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::getRelativePosition()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::relocate(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
