release,feature,Mean LOC,Normalized Mean LOC
JunoSR0,BIRT,13.137039408580243,98.63381203762411
JunoSR0,CDT,9.99077691361122,55.12404675750867
JunoSR0,CVS,9.335193889541715,0.0
JunoSR0,DataTools,0.0,0.0
JunoSR0,EclipseLink,8.766139324327579,35.86453311618735
JunoSR0,EGit,12.369413031771675,38.04421223810386
JunoSR0,EMF,12.352731826270348,0.0
JunoSR0,GEF,9.388164493480442,99.12585896162676
JunoSR0,GMF Runtime,9.109043119982951,66.51295002312644
JunoSR0,JDT,19.31781025066011,19.240741147819477
JunoSR0,m2e,7.1773584905660375,0.0
JunoSR0,Mylyn,9.823008849557523,100.0
JunoSR0,PDE,0.0,0.0
JunoSR0,PTP,8.580876631797354,31.408849077534096
JunoSR0,RAP,8.734123602826926,54.55107983092184
JunoSR0,Scout,8.268150933720781,100.0
JunoSR0,Subversive,10.77742418569824,0.3588814820787068
JunoSR0,WebTools,8.981770145310437,100.0
JunoSR0,Window Builder,12.998054215422341,0.0412940400048175
JunoSR1,BIRT,13.151848244515561,99.08464948255907
JunoSR1,CDT,9.881353990664108,13.751408446673999
JunoSR1,CVS,9.33956386292835,0.4404803507805144
JunoSR1,DataTools,15.615384615384615,100.0
JunoSR1,EclipseLink,8.638711664539974,13.939406319580389
JunoSR1,EGit,12.312028094820018,26.67656165084552
JunoSR1,EMF,12.383256899187383,8.63789414629188
JunoSR1,GEF,9.40505701536936,100.0
JunoSR1,GMF Runtime,9.099609790705925,13.582784725786343
JunoSR1,JDT,19.327924835125124,20.77181105910373
JunoSR1,m2e,9.013855843247025,100.0
JunoSR1,Mylyn,7.887034277198212,3.319613101172922
JunoSR1,PDE,9.385455051101996,91.854113920098
JunoSR1,PTP,8.772065996522034,59.82621432425127
JunoSR1,RAP,8.730870778120952,53.33536418548655
JunoSR1,Scout,8.24092547573141,97.53261358109968
JunoSR1,Subversive,10.776800748362955,0.3224099330338541
JunoSR1,WebTools,8.20836560805577,36.85446358362295
JunoSR1,Window Builder,12.998427547240212,0.09420730288358943
JunoSR2,BIRT,13.156888550252823,99.2380956123024
JunoSR2,CDT,9.892906841174922,18.11952339708578
JunoSR2,CVS,9.342267677658262,0.7130168527921781
JunoSR2,DataTools,12.984962406015038,83.15493166413572
JunoSR2,EclipseLink,8.68138450973803,21.281670497537036
JunoSR2,EGit,12.316768086544963,27.615528783650067
JunoSR2,EMF,12.473461349089119,34.16368050209932
JunoSR2,GEF,7.7985174600339375,16.86604496810706
JunoSR2,GMF Runtime,9.10082304526749,20.390324524885703
JunoSR2,JDT,19.59799612376272,61.653176513614405
JunoSR2,m2e,8.61067060878914,78.0459670214444
