release,feature,Mean CSB,Normalized Mean CSB
JunoSR0,BIRT,9.969648990045986,0.7291038674954207
JunoSR0,CDT,7.3916466554364835,9.292152846000516
JunoSR0,CVS,4.9354289071680375,0.0
JunoSR0,DataTools,0.0,0.0
JunoSR0,EclipseLink,2.243909878237697,27.994998556304612
JunoSR0,EGit,7.565069107880094,0.17305147544910152
JunoSR0,EMF,11.342296623388036,11.576438669485613
JunoSR0,GEF,1.5255767301905716,0.0
JunoSR0,GMF Runtime,4.039923279107764,99.45544638262909
JunoSR0,JDT,21.94558179911021,77.45703884559585
JunoSR0,m2e,0.939622641509434,0.0
JunoSR0,Mylyn,6.274336283185841,100.0
JunoSR0,PDE,0.0,0.0
JunoSR0,PTP,6.635385147402092,100.0
JunoSR0,RAP,2.2638213623377275,0.0
JunoSR0,Scout,2.1948634673731893,54.20475560884369
JunoSR0,Subversive,3.6510670160988394,16.97110987367907
JunoSR0,WebTools,0.24570673712021135,0.0
JunoSR0,Window Builder,0.34227150358504144,0.20008258293696765
JunoSR1,BIRT,9.976925931079263,0.7663401209859677
JunoSR1,CDT,6.758479146978245,0.0
JunoSR1,CVS,4.941397754658203,0.07341097001393093
JunoSR1,DataTools,7.384615384615385,100.0
JunoSR1,EclipseLink,2.583652337161379,32.24040159431437
JunoSR1,EGit,7.55891132572432,0.0
JunoSR1,EMF,10.84703113685735,0.0
JunoSR1,GEF,1.5453644025780862,0.1297937730799471
JunoSR1,GMF Runtime,4.011280595956013,98.75031644781438
JunoSR1,JDT,21.933399584424972,77.2844831619915
JunoSR1,m2e,2.3123862841147655,17.811519547496296
JunoSR1,Mylyn,2.280327868852459,32.656620992981765
JunoSR1,PDE,6.765765139400681,56.86403489143053
JunoSR1,PTP,6.532001526911821,96.3871886922703
JunoSR1,RAP,2.3165288432798645,6.368996632815765
JunoSR1,Scout,2.205800989186017,54.51641371543634
JunoSR1,Subversive,3.6594948550046773,17.0103907782432
JunoSR1,WebTools,1.07919294751208,42.89335639923078
JunoSR1,Window Builder,0.3432744329841955,0.2036680447991227
JunoSR2,BIRT,10.032532151185611,1.0508782666247076
JunoSR2,CDT,6.806489525743729,0.7045841293555181
JunoSR2,CVS,4.951860342091342,0.2020905339645622
JunoSR2,DataTools,6.957236842105263,94.2125822368421
JunoSR2,EclipseLink,2.7268310857209648,34.02955534341891
JunoSR2,EGit,7.789553752535497,6.481718783021716
JunoSR2,EMF,12.010477597242737,27.19463996618926
JunoSR2,GEF,12.236670536750916,70.25754478550579
JunoSR2,GMF Runtime,4.013126152972896,98.79575065145086
JunoSR2,JDT,21.170640963521837,66.48034461610563
JunoSR2,m2e,7.452761725574519,84.50755870196065
JunoSR2,Mylyn,2.051779197080292,28.803038769802463
JunoSR2,PDE,6.972724897105899,58.603463712974566
JunoSR2,PTP,6.631352718078382,99.85908400006468
JunoSR2,RAP,2.899797720657161,76.84926716823422
JunoSR2,Scout,2.339483394833948,58.32561347219677
JunoSR2,Subversive,3.6810780460415495,17.11098682389394
JunoSR2,WebTools,1.1391387349021624,45.978321682515336
JunoSR2,Window Builder,0.2863041798758558,0.0
KeplerPostRC4,BIRT,9.827162962222445,0.0
KeplerPostRC4,CDT,7.0725152082576415,4.60868734036848
KeplerPostRC4,CVS,4.963687478036781,0.34755270629714197
KeplerPostRC4,DataTools,6.957236842105263,94.2125822368421
KeplerPostRC4,EclipseLink,2.7377241613395937,34.165674615855764
KeplerPostRC4,EGit,8.009311606252078,12.657549604111033
KeplerPostRC4,EMF,12.406168362771474,36.44359836083287
KeplerPostRC4,GEF,12.236670536750916,70.25754478550579
KeplerPostRC4,GMF Runtime,4.015893287923939,98.8638724009851
KeplerPostRC4,JDT,21.30596717447443,68.39718054814716
KeplerPostRC4,m2e,7.4963240208528275,85.07277666796885
KeplerPostRC4,Mylyn,2.1343717001055964,30.195639299738936
KeplerPostRC4,PDE,7.284047704156241,61.22002970334781
